Fx,Fy,Fz,Mx,My,Mz
0.581676338,-0.581676338,45.67055505,-1.858975471,1.858975471,-0.067062603
-1.262470467,1.262470467,44.06389156,-2.604762859,2.604762859,17.69493608
-1.845128224,1.845128224,44.35619794,-1.99584157,1.99584157,-14.04503516
-11.67600322,11.67600322,43.36983516,-1.268621385,1.268621385,-0.465113411
3.1683347,-3.1683347,45.15999266,-1.607525276,1.607525276,-0.606805965
-0.354836102,0.354836102,45.63867021,-1.607614822,1.607614822,0.078890839
-12.60266742,12.60266742,43.10936234,-4.05771875,4.05771875,0.433325275
-0.356412085,0.356412085,45.63315622,-1.85587191,1.85587191,0.08353479
-0.845601293,0.845601293,44.70266731,-2.83042569,2.83042569,14.80765606
-0.995167997,0.995167997,45.15132902,-5.203575638,5.203575638,4.339645354
1.980606774,-1.980606774,45.46408283,-1.872538987,1.872538987,-0.731780982
-3.830924678,3.830924678,45.14513542,-2.065817,2.065817,-0.26592719
-1.115149362,1.115149362,45.43188461,-2.867003722,2.867003722,5.613883954
5.300840493,-5.300840493,45.23764551,-3.083421134,3.083421134,0.786284095
-1.602017474,1.602017474,45.29636163,-2.76690854,2.76690854,1.193129325
-1.02233031,1.02233031,45.50322992,-1.299942781,1.299942781,-0.116284361
-2.846637175,2.846637175,45.54362082,-1.811127862,1.811127862,0.042664068
-0.34316635,0.34316635,45.62139679,-1.293341709,1.293341709,0.066576752
11.44890694,-11.44890694,42.7230098,-6.590264797,6.590264797,0.886352196
-1.172529345,1.172529345,45.75628756,-2.813689025,2.813689025,-0.138147396
-2.152742033,2.152742033,44.29246888,0.73611254,-0.73611254,0.710304874
-8.822193923,8.822193923,44.30667426,-3.619856159,3.619856159,-2.163012211
0.016987274,-0.016987274,45.55119805,-3.5044257,3.5044257,0.088855047
-0.704396053,0.704396053,44.26451518,-2.313690531,2.313690531,16.4410581
-1.869865662,1.869865662,44.79795469,-0.676304768,0.676304768,2.79576529
-0.953416468,0.953416468,45.61839421,-2.719374435,2.719374435,0.137388307
-2.410818852,2.410818852,45.25455998,-1.929121223,1.929121223,-7.363396188
-1.238879573,1.238879573,44.80122371,-0.536624705,0.536624705,1.209746862
-2.507778147,2.507778147,44.18453828,0.769969765,-0.769969765,2.713179899
-1.99889478,1.99889478,45.47683629,-3.350748843,3.350748843,-1.002709514
-0.342270295,0.342270295,45.68881738,-2.715731354,2.715731354,0.191860732
0.195604552,-0.195604552,45.2247529,-5.075111177,5.075111177,2.305248928
-0.353946515,0.353946515,45.66960248,-2.02355423,2.02355423,0.201324743
-0.853887395,0.853887395,45.38608086,-2.247127518,2.247127518,-8.356506376
15.50947945,-15.50947945,41.3554342,-2.885369635,2.885369635,0.483801814
-15.4925635,15.4925635,41.90939625,-3.397620522,3.397620522,0.177706053
-9.28102301,9.28102301,43.81418183,-5.80095792,5.80095792,-1.730103668
-2.900763542,2.900763542,43.61203717,1.998323669,-1.998323669,2.844214959
-0.787575565,0.787575565,44.89607523,-2.050311765,2.050311765,11.58916276
-0.590860568,0.590860568,45.4937213,-2.700831237,2.700831237,3.772640837
-1.219618396,1.219618396,45.44696827,-2.22021075,2.22021075,2.548529085
9.539565799,-9.539565799,43.19276441,0.985003337,-0.985003337,0.141627493
1.012032298,-1.012032298,44.61176496,-7.863382644,7.863382644,2.376667722
-0.092172048,0.092172048,45.77835401,-2.008112508,2.008112508,0.05139566
-0.355848533,0.355848533,45.66347551,-1.778918353,1.778918353,0.104651453
9.977065557,-9.977065557,42.93425599,1.570107534,-1.570107534,1.634071526
-0.281894777,0.281894777,45.64534055,-2.926332811,2.926332811,0.623133629
